"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","09/02/2018","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","13/02/2018","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","15/02/2018","12000","12500","12000"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","13/02/2018","12000","16000","14000"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","03/04/2018","14000","16000","15000"
