"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Vijayanagaram","Gajapathinagaram","Cashew Kernnel","Cashew Kernnel","06/05/2016","19000","21000","20000"
"Andhra Pradesh","Vijayanagaram","Gajapathinagaram","Cashew Kernnel","Cashew Kernnel","07/05/2016","20000","23000","21000"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","17/09/2016","8500","10500","9500"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","24/09/2016","8500","10500","9500"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","01/10/2016","8500","10500","9500"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","08/10/2016","8500","10500","9500"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","12/10/2016","8500","10500","9500"
